doc_id,parte,capit,sent_num
166,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",27
167,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",28
168,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",29
169,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",30
170,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",31
171,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",32
172,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",33
173,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",34
174,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",35
175,NAB'E,"K'ATE K'UT KIK'ISIK CHIK,",36
176,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",0
177,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",1
178,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",2
179,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",3
180,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",4
181,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",5
182,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",6
183,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",7
184,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",8
185,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",9
186,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",10
187,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",11
188,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",12
189,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",13
190,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",14
191,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",15
192,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",16
193,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",17
194,UKAB',"ARE K'UT XA JUB'IQ' SAQNATANOJ UWACH ULEW,",18
195,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",0
196,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",1
197,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",2
198,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",3
199,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",4
200,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",5
201,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",6
202,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",7
203,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",8
204,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",9
205,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",10
206,UKAB',"K'EJE K'UT XCHIQAB'IJ CHIK TA XKAMIK WUQUB' KAK'IX,",11
