para_id,H,I,A,F,B,E,D,G,C
84,0.02187285866997665,2.6785937528692015e-59,4.058382870217283e-59,3.5416621129497124e-58,9.391895655488765e-76,2.9031242291172154e-38,3.189261186694246e-57,7.9193778428989845e-22,4.4935421138502715e-17
85,0.027833259901576365,1.018388475406295e-11,1.8882082615219004e-105,2.270588833190942e-53,1.2136735400135921e-58,3.04987841180253e-42,7.297641745881921e-48,3.574052377206016e-30,1.3044818167947585e-44
86,0.023599494287941038,6.810912857560821e-38,1.4144747424507484e-68,4.876706352573314e-49,1.450274037212764e-28,1.018139734321316e-51,2.282535005728935e-57,4.9311488414279406e-67,1.94725430362747e-36
87,0.011224244225947613,2.872513550825785e-32,7.507306512653003e-69,3.624017406916037e-14,9.350216311049999e-25,6.714406185415484e-20,8.151566161493039e-35,0.0018168316564481687,0.014115346081514336
88,0.028122764646925324,2.890713699782469e-48,4.568532878466013e-39,2.6965470153989986e-41,0.0014887557863141727,8.082903618059748e-11,1.7484027748293084e-49,2.9227126366975524e-28,8.191571852347313e-18
89,0.017115646167920478,2.6436368492595605e-54,2.0624085919193435e-47,1.3956704829862937e-27,9.346762716036534e-58,2.905345147132822e-42,1.9074802278848058e-29,0.008460493671731259,1.0371233671383432e-16
90,0.01903512318942836,3.2636226361033595e-23,1.9181471587744948e-24,0.003009034053934537,2.9311134200879567e-18,1.9989017467374177e-16,0.006525805161371464,0.007589392467157839,2.442882889981219e-16
91,0.016896359776936657,5.129887885773211e-13,0.0009032289030003542,0.0001445553167190168,0.0006481880569946328,2.4807958052664383e-11,0.00395580450017245,0.009740125642067157,0.0021928349740757786
92,0.005610360145718597,0.00011509613916342446,0.0021251245448807936,0.01248167517507373,0.003117019737020339,1.5759058834119553e-09,0.004119245154572561,0.005279795222938076,0.0011398838370539589
93,5.530531674912184e-25,8.480994126564461e-63,4.54320880079346e-53,0.01902288193508471,1.2145463989529228e-53,2.855480534951044e-50,1.172294777089931e-32,1.2370602173066382e-30,7.424289735004453e-46
94,0.0004185153952468097,1.300415185827946e-22,1.1779572808737547e-36,0.0052160017309622496,0.014437544320834276,0.0036668999609934176,4.841323772472145e-35,5.978259000911017e-13,2.789712784128181e-37
95,1.701045369693257e-17,1.062649473776964e-16,1.7747151146764346e-07,1.000224849280617e-30,0.023493372208964927,6.584083256055157e-20,3.86154131891022e-33,7.269812626823433e-37,5.628738549090939e-25
96,1.4518255712884045e-05,0.0036418729308031524,1.7608000139282236e-38,3.945276882161743e-18,0.02497410817556522,3.703998333713516e-28,1.5282622894542044e-10,1.972338756350528e-44,0.0008615109239339212
97,1.4440332894503245e-17,3.7745659516139744e-21,1.634414800980186e-52,1.7059065881923077e-43,0.016627208348614742,1.7743828733223e-30,3.1937659857507148e-37,3.4525728735799447e-53,7.761714064357772e-47
98,2.438374613199099e-47,0.005080349243045525,2.819166948991319e-84,0.007771851225932966,2.00664266011437e-83,2.719016077561949e-78,1.2730452318853325e-78,6.025051899135353e-100,3.7679990221200864e-81
99,3.338173013130705e-11,0.014678655533582509,0.003695522496224357,0.0012841333130522697,0.01005719174006841,1.2791348249898611e-14,1.05216969492524e-27,1.4524967590513073e-17,5.521168558231458e-07
100,5.585403780823531e-28,0.019834706229126822,0.0012307185523720025,0.0006357403753900096,2.1183549642882143e-46,1.9272834688666926e-09,4.101592421018673e-46,0.00018142598759108436,3.066409033862642e-39
101,0.005779735804024909,0.019476460474580883,5.940000398747467e-25,4.865876693612603e-52,1.1615661453577316e-12,3.603049122167538e-22,3.396507104801957e-16,7.106163807876613e-28,3.907901007244676e-15
102,0.007968016184752472,0.01390913134334324,2.046529399891964e-90,1.354544984928073e-47,1.7264830406062598e-38,9.667553131925888e-14,1.0291782101411112e-16,2.59354228674609e-37,6.307887584037489e-28
103,0.0071277158763964135,0.011938607004416334,5.2507023138076415e-55,1.95647881356454e-36,0.0009562741876358586,3.633156375671148e-11,0.0015371036113757718,0.0026475131449199734,0.004533742591124989
104,6.740567950584274e-47,0.016127589962048897,2.3888564767021458e-74,4.423735746172462e-78,1.5839934172255962e-55,1.7343306621482777e-45,9.442729897478452e-69,3.5259390030632777e-79,3.552420801731092e-54
105,0.0014249206473394627,0.025417073564219725,3.3788631246065636e-07,1.066415830983658e-16,1.2567081404841335e-19,1.4867115998550726e-05,7.961607132878107e-10,8.905825113930232e-14,1.0230679531390076e-11
106,3.3031065587778905e-28,0.00530118086778271,4.697791860312404e-82,0.009801112506764732,4.178701215082718e-39,0.000654989496402619,5.697225967521319e-54,5.387585418991006e-71,2.8735805824038186e-53
107,0.0016427140880808013,0.023472762079651717,4.47974544288067e-23,0.00010112553426989661,1.679972343218018e-13,2.8093148231290462e-21,0.0015216367989345106,1.856896078175041e-08,1.120608082066394e-16
108,1.3652404103706668e-08,0.01934525077275956,4.4904920626928094e-27,2.1680054859383034e-15,1.6378494105030417e-15,0.0007233703018381039,3.7207621666120064e-24,1.0562007066806294e-41,0.004242930355460542
109,1.722204475768786e-15,0.02246990706197941,4.5923919310748235e-63,3.383184026384167e-70,1.542187237603758e-11,4.446965256553024e-40,6.876226499724795e-39,7.131312876894603e-81,2.2661657113522807e-35
